,K,D,A,Gold,Level,Win,Time_seconds
284,0.6,2.2,1.8,7174.0,12.8,1,875
285,2.2,0.6,6.0,9776.6,14.8,0,875
286,3.6,3.0,9.6,21611.2,15.0,1,2221
287,3.0,3.6,8.8,20090.8,15.0,0,2221
288,2.6,1.4,6.8,9866.0,14.2,0,903
289,1.4,2.6,2.8,8348.8,13.2,1,903
290,0.8,3.8,2.2,7708.0,15.0,0,897
291,3.8,0.8,11.2,9797.6,15.0,1,897
292,3.0,5.4,6.6,13311.4,15.0,0,1423
293,5.4,3.0,13.2,14044.2,15.0,1,1423
294,0.2,1.8,0.6,5559.4,10.8,0,690
295,1.8,0.2,4.4,8066.4,13.4,1,690
296,3.2,0.6,8.2,13110.2,15.0,1,1227
297,0.6,3.2,1.6,10296.4,15.0,0,1227
298,2.8,2.8,6.4,13518.8,15.0,1,1386
299,2.8,2.8,7.6,13146.6,15.0,0,1386
300,1.2,3.8,2.6,8049.8,13.8,1,983
301,3.8,1.2,9.2,10474.8,14.6,0,983
302,5.4,2.8,11.6,14163.8,15.0,1,1398
303,2.8,5.4,5.8,14358.8,15.0,0,1398
304,0.4,2.4,0.6,5891.8,11.4,0,716
305,2.4,0.4,7.0,7985.4,13.2,1,716
306,1.8,3.8,3.6,9721.2,15.0,0,1044
307,3.8,1.8,7.2,11436.4,15.0,1,1044
308,3.0,1.8,10.0,16289.8,15.0,1,1694
309,1.8,3.0,5.0,15374.4,15.0,0,1694
310,2.2,4.2,5.2,8462.0,13.6,0,970
311,4.2,2.2,10.2,10530.2,15.0,1,970
312,1.4,2.6,2.2,12711.4,15.0,0,1323
313,2.6,1.4,6.6,12995.4,15.0,1,1323
314,4.8,1.6,9.8,12127.4,15.0,1,1061
315,1.6,4.8,2.8,9817.6,15.0,0,1061
316,2.8,1.0,8.8,9648.2,14.8,0,924
317,1.0,2.8,2.4,8416.2,13.8,1,924
318,1.2,2.8,3.6,7600.6,13.4,0,892
319,2.8,1.2,6.0,9250.6,14.0,1,892
320,2.6,3.0,6.8,12250.2,15.0,1,1259
321,3.0,2.6,9.2,11539.2,15.0,0,1259
322,2.2,2.0,5.2,12899.8,15.0,0,1364
323,2.0,2.2,5.0,13240.8,15.0,1,1364
324,3.4,1.0,8.4,8820.0,14.0,1,780
325,1.0,3.4,2.6,6900.2,12.2,0,780
326,2.2,0.0,5.6,7567.4,12.6,1,652
327,0.0,2.2,0.0,4822.4,10.2,0,652
328,0.4,3.4,1.4,6310.2,12.2,0,821
329,3.4,0.4,9.4,8851.2,14.2,1,821
330,1.0,4.4,2.0,7188.6,12.8,0,841
331,4.4,1.0,10.2,9663.4,14.4,1,841
332,2.2,2.4,4.8,12851.4,15.0,1,1309
333,2.4,2.2,5.0,12125.6,15.0,0,1309
334,0.4,2.4,1.2,9423.8,15.0,0,1150
335,2.4,0.4,5.8,11720.8,15.0,1,1150
336,2.0,2.0,6.0,11599.4,15.0,1,1204
337,2.0,2.0,7.0,11138.4,15.0,0,1204
338,2.2,0.2,7.6,9192.2,15.0,1,840
339,0.2,2.2,0.2,7036.0,12.8,0,840
340,2.2,1.2,7.6,9946.8,13.8,1,891
341,1.2,2.2,2.8,8158.8,14.4,0,891
342,1.2,1.8,3.0,7535.4,12.8,0,824
343,1.8,1.2,5.0,9008.2,14.4,1,824
344,0.8,2.0,2.6,7679.2,13.8,0,911
345,2.0,0.8,4.8,8812.4,14.4,1,911
346,2.4,2.8,5.4,12418.8,15.0,0,1468
347,2.8,2.4,7.8,13908.2,15.0,1,1468
348,1.2,3.6,3.8,7861.0,13.4,0,897
349,3.6,1.2,9.2,9434.0,14.6,1,897
350,1.2,3.0,3.4,8581.8,15.0,0,1013
351,3.0,1.2,9.0,11584.0,15.0,1,1013
352,4.2,1.6,9.6,10770.2,15.0,1,939
353,1.6,4.2,3.6,8798.6,14.0,0,939
354,2.2,2.6,4.8,10466.4,14.8,1,1018
355,2.6,2.2,6.4,9873.4,14.2,0,1018
356,0.4,3.0,0.8,8830.0,14.6,0,1053
357,3.0,0.4,6.2,11431.8,15.0,1,1053
358,2.2,0.4,6.4,9525.2,14.4,1,851
359,0.4,2.2,0.8,7117.8,12.4,0,851
360,2.8,0.8,6.8,8389.4,13.6,1,698
361,0.8,2.8,1.4,5325.8,10.4,0,698
362,3.2,0.4,7.6,10900.4,15.0,1,1053
363,0.4,3.2,1.4,9013.2,15.0,0,1053
364,2.0,2.0,5.6,11323.6,15.0,0,1227
365,2.0,2.0,3.8,11457.6,15.0,1,1227
366,3.2,2.4,10.4,10258.2,14.6,1,1024
367,2.4,3.2,7.4,9129.0,14.8,0,1024
368,2.0,0.4,4.4,7746.8,13.0,1,703
369,0.4,2.0,1.0,6002.4,11.2,0,703
370,1.6,0.6,4.2,8104.6,13.4,1,685
371,0.6,1.6,1.0,5445.0,10.6,0,685
372,2.0,3.6,4.2,8712.6,13.8,0,906
373,3.6,2.0,7.6,10005.4,14.6,1,906
374,2.2,0.6,4.4,9591.4,14.8,1,965
375,0.6,2.2,1.8,8593.6,14.0,0,965
376,2.0,3.0,4.4,17816.2,15.0,1,1842
377,3.0,2.0,7.4,17789.6,15.0,0,1842
378,0.0,1.8,0.0,6807.0,12.6,0,844
379,1.8,0.0,5.4,9421.8,14.4,1,844
380,2.4,1.4,6.6,14321.0,15.0,1,1372
381,1.4,2.4,4.6,12268.4,15.0,0,1372
382,2.6,1.4,6.8,13089.6,15.0,1,1341
383,1.4,2.6,4.6,11297.0,15.0,0,1341
384,0.4,3.0,0.2,6435.8,12.0,0,794
385,3.0,0.4,8.4,9258.2,14.0,1,794
386,2.8,0.8,7.6,9588.4,14.6,1,836
387,0.8,2.8,1.0,7558.8,13.0,0,836
388,2.2,0.8,7.2,10499.0,15.0,1,1048
389,0.8,2.2,2.4,8530.8,14.4,0,1048
390,2.0,3.2,4.4,14203.2,15.0,1,1464
391,3.2,2.0,8.2,12438.8,15.0,0,1464
392,1.6,2.6,4.2,14229.2,15.0,1,1583
393,2.6,1.6,7.4,16423.0,15.0,0,1583
394,2.8,1.2,6.6,9901.4,14.6,1,858
395,1.2,2.8,2.2,7693.0,13.4,0,858
396,2.4,1.4,6.0,10649.0,15.0,1,1015
397,1.4,2.4,3.8,8552.4,14.4,0,1015
398,0.2,3.0,0.8,4927.2,10.4,0,664
399,3.0,0.2,9.2,8319.4,13.4,1,664
400,2.2,1.0,5.6,8813.8,14.4,1,790
401,1.0,2.2,2.4,6547.8,12.0,0,790
402,4.2,2.2,8.0,9124.6,14.0,1,796
403,2.2,4.2,4.6,7040.2,12.2,0,796
404,2.0,0.2,5.4,11721.0,15.0,1,1161
405,0.2,2.0,0.6,9634.0,15.0,0,1161
406,2.8,1.4,6.4,11033.6,15.0,1,988
407,1.4,2.8,2.0,8628.0,15.0,0,988
408,3.2,1.6,8.6,8296.4,13.4,1,714
409,1.6,3.2,4.4,6683.0,11.4,0,714
410,1.8,1.4,6.0,9555.8,14.4,1,892
411,1.4,1.8,2.8,7777.2,13.4,0,892
412,0.8,1.6,2.4,8537.8,13.0,0,902
413,1.6,0.8,2.8,10187.8,14.4,1,902
414,2.4,0.2,6.2,9509.8,14.8,1,896
415,0.2,2.4,0.2,7476.2,13.2,0,896
416,3.8,0.8,10.0,9698.4,14.6,1,887
417,0.8,3.8,1.6,7477.8,12.8,0,887
418,3.4,0.8,8.4,9720.8,14.2,1,830
419,0.8,3.4,1.4,6948.4,12.6,0,830
420,2.4,0.8,8.2,10909.8,15.0,1,1034
421,0.8,2.4,2.0,9089.0,14.6,0,1034
422,1.2,4.2,3.2,8908.2,14.0,0,984
