K_1,D_1,A_1,Gold_1,Level_1,Win_1,Time_seconds_1,K_2,D_2,A_2,Gold_2,Level_2
1.4,0.6,4.4,7837.2,13.0,1,688,0.6,1.4,1.2,5451.0,10.8
3.4,3.2,8.6,14099.6,15.0,0,1568,3.2,3.4,9.2,15745.8,15.0
3.6,1.4,5.8,9523.8,14.0,1,798,1.4,3.6,3.2,7563.8,12.8
1.0,3.2,3.0,9849.0,14.8,0,1069,3.2,1.0,6.2,10876.6,15.0
0.4,3.2,1.2,7710.0,13.4,0,897,3.2,0.4,9.0,10164.0,14.6
3.0,3.4,7.0,17837.4,15.0,1,1814,3.4,3.0,8.0,17413.4,15.0
2.8,3.0,8.2,13126.8,15.0,0,1479,3.0,2.8,7.6,14315.2,15.0
1.6,3.2,4.0,9480.6,14.4,0,1037,3.2,1.6,9.4,10719.0,15.0
2.6,1.0,4.8,12415.2,15.0,1,1154,1.0,2.6,2.6,9763.8,15.0
1.0,1.4,2.4,12203.6,15.0,1,1214,1.4,1.0,4.4,10688.0,15.0
2.4,0.8,5.4,9637.2,14.6,1,852,0.8,2.4,2.0,7013.2,12.8
0.6,2.8,1.0,7771.4,13.8,0,912,2.8,0.6,7.6,9212.8,14.6
3.6,3.0,8.0,11926.2,15.0,1,1395,3.0,3.6,5.8,13018.4,15.0
3.0,1.4,8.2,10240.2,14.8,1,920,1.4,3.0,2.2,8024.4,13.6
2.4,0.6,8.0,9249.0,14.4,1,843,0.6,2.4,1.8,6715.4,12.4
2.2,0.0,6.6,10018.6,15.0,1,947,0.0,2.2,0.0,7859.6,14.2
1.4,2.0,3.4,7089.8,12.6,0,783,2.0,1.4,5.8,7905.8,13.6
3.0,0.6,9.8,8920.8,14.2,1,882,0.6,3.0,1.2,7811.0,13.6
0.6,2.2,1.8,7174.0,12.8,1,875,2.2,0.6,6.0,9776.6,14.8
3.6,3.0,9.6,21611.2,15.0,1,2221,3.0,3.6,8.8,20090.8,15.0
2.6,1.4,6.8,9866.0,14.2,0,903,1.4,2.6,2.8,8348.8,13.2
0.8,3.8,2.2,7708.0,15.0,0,897,3.8,0.8,11.2,9797.6,15.0
3.0,5.4,6.6,13311.4,15.0,0,1423,5.4,3.0,13.2,14044.2,15.0
0.2,1.8,0.6,5559.4,10.8,0,690,1.8,0.2,4.4,8066.4,13.4
3.2,0.6,8.2,13110.2,15.0,1,1227,0.6,3.2,1.6,10296.4,15.0
2.8,2.8,6.4,13518.8,15.0,1,1386,2.8,2.8,7.6,13146.6,15.0
1.2,3.8,2.6,8049.8,13.8,1,983,3.8,1.2,9.2,10474.8,14.6
5.4,2.8,11.6,14163.8,15.0,1,1398,2.8,5.4,5.8,14358.8,15.0
0.4,2.4,0.6,5891.8,11.4,0,716,2.4,0.4,7.0,7985.4,13.2
1.8,3.8,3.6,9721.2,15.0,0,1044,3.8,1.8,7.2,11436.4,15.0
3.0,1.8,10.0,16289.8,15.0,1,1694,1.8,3.0,5.0,15374.4,15.0
2.2,4.2,5.2,8462.0,13.6,0,970,4.2,2.2,10.2,10530.2,15.0
1.4,2.6,2.2,12711.4,15.0,0,1323,2.6,1.4,6.6,12995.4,15.0
4.8,1.6,9.8,12127.4,15.0,1,1061,1.6,4.8,2.8,9817.6,15.0
2.8,1.0,8.8,9648.2,14.8,0,924,1.0,2.8,2.4,8416.2,13.8
1.2,2.8,3.6,7600.6,13.4,0,892,2.8,1.2,6.0,9250.6,14.0
2.6,3.0,6.8,12250.2,15.0,1,1259,3.0,2.6,9.2,11539.2,15.0
2.2,2.0,5.2,12899.8,15.0,0,1364,2.0,2.2,5.0,13240.8,15.0
3.4,1.0,8.4,8820.0,14.0,1,780,1.0,3.4,2.6,6900.2,12.2
2.2,0.0,5.6,7567.4,12.6,1,652,0.0,2.2,0.0,4822.4,10.2
0.4,3.4,1.4,6310.2,12.2,0,821,3.4,0.4,9.4,8851.2,14.2
1.0,4.4,2.0,7188.6,12.8,0,841,4.4,1.0,10.2,9663.4,14.4
2.2,2.4,4.8,12851.4,15.0,1,1309,2.4,2.2,5.0,12125.6,15.0
0.4,2.4,1.2,9423.8,15.0,0,1150,2.4,0.4,5.8,11720.8,15.0
2.0,2.0,6.0,11599.4,15.0,1,1204,2.0,2.0,7.0,11138.4,15.0
2.2,0.2,7.6,9192.2,15.0,1,840,0.2,2.2,0.2,7036.0,12.8
2.2,1.2,7.6,9946.8,13.8,1,891,1.2,2.2,2.8,8158.8,14.4
1.2,1.8,3.0,7535.4,12.8,0,824,1.8,1.2,5.0,9008.2,14.4
0.8,2.0,2.6,7679.2,13.8,0,911,2.0,0.8,4.8,8812.4,14.4
2.4,2.8,5.4,12418.8,15.0,0,1468,2.8,2.4,7.8,13908.2,15.0
1.2,3.6,3.8,7861.0,13.4,0,897,3.6,1.2,9.2,9434.0,14.6
1.2,3.0,3.4,8581.8,15.0,0,1013,3.0,1.2,9.0,11584.0,15.0
4.2,1.6,9.6,10770.2,15.0,1,939,1.6,4.2,3.6,8798.6,14.0
2.2,2.6,4.8,10466.4,14.8,1,1018,2.6,2.2,6.4,9873.4,14.2
0.4,3.0,0.8,8830.0,14.6,0,1053,3.0,0.4,6.2,11431.8,15.0
2.2,0.4,6.4,9525.2,14.4,1,851,0.4,2.2,0.8,7117.8,12.4
2.8,0.8,6.8,8389.4,13.6,1,698,0.8,2.8,1.4,5325.8,10.4
3.2,0.4,7.6,10900.4,15.0,1,1053,0.4,3.2,1.4,9013.2,15.0
2.0,2.0,5.6,11323.6,15.0,0,1227,2.0,2.0,3.8,11457.6,15.0
3.2,2.4,10.4,10258.2,14.6,1,1024,2.4,3.2,7.4,9129.0,14.8
2.0,0.4,4.4,7746.8,13.0,1,703,0.4,2.0,1.0,6002.4,11.2
1.6,0.6,4.2,8104.6,13.4,1,685,0.6,1.6,1.0,5445.0,10.6
2.0,3.6,4.2,8712.6,13.8,0,906,3.6,2.0,7.6,10005.4,14.6
2.2,0.6,4.4,9591.4,14.8,1,965,0.6,2.2,1.8,8593.6,14.0
2.0,3.0,4.4,17816.2,15.0,1,1842,3.0,2.0,7.4,17789.6,15.0
0.0,1.8,0.0,6807.0,12.6,0,844,1.8,0.0,5.4,9421.8,14.4
2.4,1.4,6.6,14321.0,15.0,1,1372,1.4,2.4,4.6,12268.4,15.0
2.6,1.4,6.8,13089.6,15.0,1,1341,1.4,2.6,4.6,11297.0,15.0
0.4,3.0,0.2,6435.8,12.0,0,794,3.0,0.4,8.4,9258.2,14.0
2.8,0.8,7.6,9588.4,14.6,1,836,0.8,2.8,1.0,7558.8,13.0
2.2,0.8,7.2,10499.0,15.0,1,1048,0.8,2.2,2.4,8530.8,14.4
2.0,3.2,4.4,14203.2,15.0,1,1464,3.2,2.0,8.2,12438.8,15.0
1.6,2.6,4.2,14229.2,15.0,1,1583,2.6,1.6,7.4,16423.0,15.0
2.8,1.2,6.6,9901.4,14.6,1,858,1.2,2.8,2.2,7693.0,13.4
2.4,1.4,6.0,10649.0,15.0,1,1015,1.4,2.4,3.8,8552.4,14.4
0.2,3.0,0.8,4927.2,10.4,0,664,3.0,0.2,9.2,8319.4,13.4
2.2,1.0,5.6,8813.8,14.4,1,790,1.0,2.2,2.4,6547.8,12.0
4.2,2.2,8.0,9124.6,14.0,1,796,2.2,4.2,4.6,7040.2,12.2
2.0,0.2,5.4,11721.0,15.0,1,1161,0.2,2.0,0.6,9634.0,15.0
2.8,1.4,6.4,11033.6,15.0,1,988,1.4,2.8,2.0,8628.0,15.0
3.2,1.6,8.6,8296.4,13.4,1,714,1.6,3.2,4.4,6683.0,11.4
1.8,1.4,6.0,9555.8,14.4,1,892,1.4,1.8,2.8,7777.2,13.4
0.8,1.6,2.4,8537.8,13.0,0,902,1.6,0.8,2.8,10187.8,14.4
2.4,0.2,6.2,9509.8,14.8,1,896,0.2,2.4,0.2,7476.2,13.2
3.8,0.8,10.0,9698.4,14.6,1,887,0.8,3.8,1.6,7477.8,12.8
3.4,0.8,8.4,9720.8,14.2,1,830,0.8,3.4,1.4,6948.4,12.6
2.4,0.8,8.2,10909.8,15.0,1,1034,0.8,2.4,2.0,9089.0,14.6
1.2,4.2,3.2,8908.2,14.0,0,984,4.2,1.2,11.8,11680.2,15.0
2.0,3.2,4.6,12375.4,15.0,0,1328,3.2,2.0,9.2,13800.6,15.0
4.0,4.2,8.4,13232.8,15.0,0,1377,4.2,4.0,10.4,14475.8,15.0
3.4,2.2,10.8,9472.8,14.2,1,858,2.2,3.4,6.6,8542.8,14.0
1.6,2.8,4.6,12291.4,15.0,1,1214,2.8,1.6,7.2,12077.6,15.0
1.2,2.2,2.4,8416.0,14.2,0,919,2.2,1.2,4.4,10122.2,14.8
2.2,1.2,6.4,8869.2,14.2,1,867,1.2,2.2,3.4,7562.4,13.6
0.2,2.4,0.6,6610.4,12.4,0,820,2.4,0.2,6.6,9379.8,14.4
4.6,1.0,15.6,9497.6,14.0,1,777,1.0,4.6,2.4,6485.0,11.8
4.0,0.6,13.0,10083.6,15.0,1,1055,0.6,4.0,1.8,8921.6,14.8
3.4,1.0,9.8,8630.0,14.0,1,795,1.0,3.4,2.6,6781.6,11.8
3.2,3.2,7.0,12086.8,15.0,1,1234,3.2,3.2,8.2,11496.0,15.0
3.4,4.0,5.4,11216.0,15.0,1,1089,4.0,3.4,11.2,10589.0,15.0
1.4,2.4,3.4,7990.8,14.0,0,917,2.4,1.4,5.2,9634.2,14.6
2.4,2.8,4.6,9959.6,14.6,0,1006,2.8,2.4,7.0,11291.0,14.6
3.2,2.8,9.4,18347.4,15.0,1,1727,2.8,3.2,6.2,16201.2,15.0
0.4,2.2,1.4,5573.6,10.8,0,714,2.2,0.4,6.4,8245.0,13.4
3.0,0.2,8.2,7747.8,12.6,1,643,0.2,3.0,0.8,4968.4,10.0
0.8,3.8,1.8,7082.6,12.6,0,851,3.8,0.8,9.8,9882.8,14.4
2.8,0.8,4.0,8410.2,13.4,1,707,0.8,2.8,1.0,5908.8,11.2
2.4,1.8,6.8,7851.4,12.4,1,752,1.8,2.4,3.2,7025.4,12.4
2.8,1.2,8.0,9624.6,14.4,1,909,1.2,2.8,3.4,8432.0,13.4
0.2,1.8,0.8,5788.0,10.8,0,700,1.8,0.2,5.0,7881.8,13.2
2.2,0.0,7.0,9871.4,12.6,1,882,0.0,2.2,0.0,7042.0,13.2
2.2,4.0,3.8,9079.4,14.0,0,985,4.0,2.2,7.6,11442.4,15.0
2.4,4.2,5.8,12919.8,15.0,0,1401,4.2,2.4,7.8,14441.8,15.0
3.0,1.8,8.6,8343.2,13.6,1,763,1.8,3.0,5.2,6879.8,12.6
3.0,1.6,7.4,9633.4,14.8,1,866,1.6,3.0,3.4,7548.6,13.2
3.0,3.4,7.0,7857.2,13.4,0,856,3.4,3.0,7.8,9071.2,14.0
2.0,4.0,6.0,8226.6,13.4,0,880,4.0,2.0,11.0,8832.6,13.8
2.2,0.4,6.6,7287.0,12.2,1,624,0.4,2.2,1.4,4807.8,9.6
4.0,0.8,10.4,11729.8,15.0,1,1084,0.8,4.0,2.2,9410.2,14.6
0.4,3.0,1.0,5466.2,10.4,0,651,3.0,0.4,6.6,7676.2,12.8
1.8,3.0,3.6,8368.0,13.6,0,884,3.0,1.8,9.8,9391.8,14.2
5.4,2.6,12.2,12203.6,15.0,1,1182,2.6,5.4,7.2,10805.2,14.6
3.4,1.0,9.0,10042.0,14.6,1,794,1.0,3.4,2.8,6963.8,12.0
0.8,3.6,1.8,4909.0,9.8,0,572,3.6,0.8,7.2,7156.4,11.8
1.0,3.4,2.0,6329.2,11.4,0,701,3.4,1.0,9.6,7944.8,12.8
0.4,1.6,0.4,4574.4,9.8,1,600,1.6,0.4,4.2,6871.2,12.0
2.2,4.0,4.2,8817.2,14.0,0,972,4.0,2.2,10.4,10337.0,14.4
2.8,2.4,7.8,10849.6,15.0,0,1151,2.4,2.8,6.2,10704.0,15.0
1.2,1.8,2.8,8476.0,14.4,0,958,1.8,1.2,4.2,9905.4,14.6
2.4,1.0,7.0,10081.0,14.8,1,963,1.0,2.4,2.0,8400.6,14.4
1.2,2.8,2.6,18242.2,15.0,0,2010,2.8,1.2,8.2,18699.6,15.0
2.0,0.4,4.8,9179.6,13.8,1,801,0.4,2.0,1.2,6730.8,12.4
1.2,0.6,3.4,8809.0,14.4,1,906,0.6,1.2,1.8,8521.8,13.8
2.6,1.0,6.2,9445.6,14.6,1,923,0.8,2.6,1.4,7639.2,14.2
2.6,2.2,5.6,12307.6,15.0,1,1169,1.6,2.6,4.2,10102.8,15.0
0.4,2.2,1.0,7343.6,13.0,0,840,2.2,0.4,5.4,9432.4,14.2
1.6,1.4,4.4,16334.2,15.0,1,1633,1.4,1.6,4.6,14215.2,15.0
5.0,3.8,11.4,18275.2,15.0,1,1919,3.8,5.0,9.6,17940.4,15.0
1.8,1.4,4.6,11511.8,15.0,1,1075,1.4,1.8,4.4,9509.0,14.6
3.2,1.2,10.0,8361.4,13.6,1,757,1.2,3.2,2.6,6690.8,12.0
2.0,0.4,4.8,8707.0,14.0,1,817,0.4,2.0,1.2,6996.8,12.6
1.2,3.2,2.6,8158.0,13.6,0,912,3.2,1.2,7.2,9989.8,14.6
1.8,3.4,4.4,15156.2,15.0,1,1635,3.4,1.8,7.8,14704.0,15.0
1.8,3.4,4.4,15156.2,15.0,1,1120,3.4,1.8,7.8,14704.0,15.0
0.0,1.2,0.0,9859.2,14.8,0,1095,1.2,0.0,2.8,12061.8,15.0
1.4,2.6,4.6,10440.8,15.0,0,1192,2.6,1.4,7.8,11936.2,15.0
0.6,3.2,1.2,7044.4,12.6,0,860,3.2,0.6,7.4,9439.8,14.8
2.4,2.8,7.4,10894.4,15.0,1,1202,2.8,2.4,7.0,11806.6,15.0
1.6,1.2,4.2,10887.0,15.0,1,1126,1.2,1.6,3.0,10561.6,14.8
1.6,3.0,3.6,15381.8,15.0,0,1600,3.0,1.6,7.0,15654.6,15.0
0.8,2.4,2.6,5878.0,12.6,0,840,2.4,0.8,5.6,9302.6,14.6
1.6,1.8,4.4,8411.6,14.2,0,971,1.8,1.6,6.0,9302.2,14.6
1.4,0.6,4.0,10020.6,14.8,1,946,0.6,1.4,1.2,8424.6,14.4
2.4,2.0,6.4,10281.4,14.6,1,933,2.0,2.4,5.6,8386.0,13.8
0.2,1.4,0.2,7787.2,13.6,0,902,1.4,0.2,4.2,9737.2,14.8
1.6,1.4,4.2,9748.0,14.4,1,917,0.2,1.6,3.8,8187.8,14.0
3.8,0.8,8.8,10603.4,14.2,1,867,0.8,3.8,1.8,7120.8,13.0
4.8,3.4,9.8,21685.8,15.0,1,2071,3.4,4.8,5.8,20372.2,15.0
1.4,0.8,2.4,11570.8,15.0,1,1066,0.8,1.4,1.8,9268.4,14.8
2.4,2.2,5.8,12638.6,15.0,1,1213,2.2,2.4,6.0,11597.6,15.0
2.6,1.6,6.8,8991.8,14.6,1,910,1.2,2.6,2.8,7669.4,14.0
1.2,3.2,3.0,11791.8,15.0,0,1330,3.2,1.2,8.2,12921.0,15.0
2.6,0.8,4.8,11824.0,15.0,1,1082,0.8,2.6,2.0,9145.6,15.0
0.6,2.8,1.4,7882.0,13.8,0,919,2.8,0.6,5.8,10303.6,14.8
3.0,1.2,5.8,10477.8,14.8,1,1040,1.2,3.0,3.0,9108.2,14.6
1.0,1.8,2.6,7894.2,13.4,0,888,1.8,1.0,4.4,9145.8,14.6
1.4,2.6,3.8,8878.4,14.8,0,1000,2.6,1.4,8.8,9631.2,14.8
1.2,3.4,3.4,11567.4,15.0,0,1366,3.4,1.2,5.8,12746.2,15.0
0.8,3.4,1.8,6158.4,12.0,0,767,3.4,0.8,10.4,8631.2,14.2
0.4,2.8,1.4,7452.6,13.2,0,884,2.8,0.8,7.4,9998.0,14.8
